Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
CXCR2	KMT2A	352	4	30	3	2.175	0.015	1.000	Co-occurrence
USP9X	ART1	352	30	4	3	2.175	0.015	1.000	Co-occurrence
CAPNS1	NOTCH4	366	2	19	2	2.958	0.016	1.000	Co-occurrence
NOTCH4	ZNF143	366	19	2	2	2.958	0.016	1.000	Co-occurrence
NRP2	UBE3C	362	11	13	3	2.027	0.016	1.000	Co-occurrence
HDAC6	TRIM33	362	11	13	3	2.027	0.016	1.000	Co-occurrence
NRP2	SON	362	11	13	3	2.027	0.016	1.000	Co-occurrence
CUX1	USP9X	342	14	28	5	1.473	0.016	1.000	Co-occurrence
FBXW7	ITGB4	306	58	16	9	1.088	0.016	1.000	Co-occurrence
CUX1	PKP3	361	16	9	3	2.018	0.016	1.000	Co-occurrence
NRP2	GAPDH	371	12	4	2	2.738	0.017	1.000	Co-occurrence
HDAC6	MDM4	371	12	4	2	2.738	0.017	1.000	Co-occurrence
FBXO11	SNW1	372	10	5	2	2.700	0.017	1.000	Co-occurrence
GRN	SNW1	372	10	5	2	2.700	0.017	1.000	Co-occurrence
SOX3	GRN	372	5	10	2	2.700	0.017	1.000	Co-occurrence
HAVCR2	GRN	372	5	10	2	2.700	0.017	1.000	Co-occurrence
ART1	QKI	372	5	10	2	2.700	0.017	1.000	Co-occurrence
HAVCR2	QKI	372	5	10	2	2.700	0.017	1.000	Co-occurrence
ART1	TCF3	372	5	10	2	2.700	0.017	1.000	Co-occurrence
NOTCH4	IGSF8	360	18	8	3	2.015	0.017	1.000	Co-occurrence
NOTCH4	KLF8	360	18	8	3	2.015	0.017	1.000	Co-occurrence
FSCN2	KMT2A	347	9	29	4	1.671	0.018	1.000	Co-occurrence
SCIN	KMT2A	347	9	29	4	1.671	0.018	1.000	Co-occurrence
SIN3A	ETV1	361	15	10	3	1.977	0.018	1.000	Co-occurrence
GRN	UBR5	345	8	32	4	1.685	0.018	1.000	Co-occurrence
PKP3	UBR5	345	8	32	4	1.685	0.018	1.000	Co-occurrence
ELSPBP1	HAVCR2	382	0	6	1	>3	0.018	1.000	Co-occurrence
STAT1	UBR5	340	13	31	5	1.439	0.018	1.000	Co-occurrence
PBXIP1	NUMB	372	9	6	2	2.623	0.019	1.000	Co-occurrence
IGSF8	NUMB	372	9	6	2	2.623	0.019	1.000	Co-occurrence
PBXIP1	TRIM62	372	9	6	2	2.623	0.019	1.000	Co-occurrence
SIN3A	ARRB1	368	16	3	2	2.730	0.019	1.000	Co-occurrence
STAT1	GLS	368	16	3	2	2.730	0.019	1.000	Co-occurrence
CAPNS1	JAG1	364	2	21	2	2.853	0.019	1.000	Co-occurrence
JAG1	ZNF143	364	21	2	2	2.853	0.019	1.000	Co-occurrence
HDAC6	ITGA3	361	11	14	3	1.951	0.019	1.000	Co-occurrence
HDAC6	TP73	361	11	14	3	1.951	0.019	1.000	Co-occurrence
NRP2	TP73	361	11	14	3	1.951	0.019	1.000	Co-occurrence
G3BP1	CARD10	361	14	11	3	1.951	0.019	1.000	Co-occurrence
ITGA3	CARD10	361	14	11	3	1.951	0.019	1.000	Co-occurrence
FBXW7	GSN	319	63	3	4	1.910	0.019	1.000	Co-occurrence
MAPK7	AGTR1	372	8	7	2	2.587	0.019	1.000	Co-occurrence
ART1	UBR5	349	4	33	3	2.071	0.020	1.000	Co-occurrence
UBR5	SHH	349	33	4	3	2.071	0.020	1.000	Co-occurrence
FSCN2	CXCR2	371	11	5	2	2.602	0.020	1.000	Co-occurrence
SCIN	CXCR2	371	11	5	2	2.602	0.020	1.000	Co-occurrence
SCIN	GSN	371	11	5	2	2.602	0.020	1.000	Co-occurrence
PTPA	KMT2A	355	1	31	2	>3	0.020	1.000	Co-occurrence
NAMPT	ZNF143	384	1	3	1	>3	0.020	1.000	Co-occurrence
EED	NAMPT	384	3	1	1	>3	0.020	1.000	Co-occurrence
ITGB4	MAPK7	357	22	7	3	1.939	0.021	1.000	Co-occurrence
WWOX	NUMB	326	55	4	4	1.780	0.021	1.000	Co-occurrence
PAK4	MDM4	369	14	4	2	2.579	0.022	1.000	Co-occurrence
UBE3C	MDM4	369	14	4	2	2.579	0.022	1.000	Co-occurrence
HDAC8	SON	369	4	14	2	2.579	0.022	1.000	Co-occurrence
NOTCH4	QKI	359	18	9	3	1.894	0.022	1.000	Co-occurrence
PBXIP1	JAG1	358	8	20	3	1.904	0.022	1.000	Co-occurrence
IGSF8	JAG1	358	8	20	3	1.904	0.022	1.000	Co-occurrence
STAT1	HDAC6	360	15	11	3	1.879	0.022	1.000	Co-occurrence
SIN3A	NRP2	360	15	11	3	1.879	0.022	1.000	Co-occurrence
GRN	TRIM62	371	10	6	2	2.515	0.022	1.000	Co-occurrence
PKP3	TRIM62	371	10	6	2	2.515	0.022	1.000	Co-occurrence
NUMB	PKP3	371	6	10	2	2.515	0.022	1.000	Co-occurrence
NUMB	QKI	371	6	10	2	2.515	0.022	1.000	Co-occurrence
NAMPT	ATM	330	0	57	2	>3	0.023	1.000	Co-occurrence
CXCR2	NRP2	370	5	12	2	2.512	0.023	1.000	Co-occurrence
NRP2	BIRC2	370	12	5	2	2.512	0.023	1.000	Co-occurrence
ART1	CARD10	370	5	12	2	2.512	0.023	1.000	Co-occurrence
SOX3	CARD10	370	5	12	2	2.512	0.023	1.000	Co-occurrence
ITGB4	WWOX	313	17	51	8	1.061	0.023	1.000	Co-occurrence
WWOX	GRN	323	54	7	5	1.452	0.023	1.000	Co-occurrence
WWOX	QKI	323	54	7	5	1.452	0.023	1.000	Co-occurrence
UBE3C	SON	360	13	13	3	1.855	0.023	1.000	Co-occurrence
USP9X	NUMB	351	30	5	3	1.949	0.023	1.000	Co-occurrence
HDAC6	KMT2A	346	10	29	4	1.563	0.023	1.000	Co-occurrence
NRP2	KMT2A	346	10	29	4	1.563	0.023	1.000	Co-occurrence
PBXIP1	AGTR1	371	9	7	2	2.466	0.024	1.000	Co-occurrence
FSCN2	UBR5	344	9	32	4	1.564	0.024	1.000	Co-occurrence
ETV1	UBR5	344	9	32	4	1.564	0.024	1.000	Co-occurrence
AQP3	ITGA3	368	4	15	2	2.507	0.024	1.000	Co-occurrence
NOTCH4	ARRB1	365	19	3	2	2.550	0.025	1.000	Co-occurrence
WWOX	PIK3CA	231	33	99	26	0.609	0.026	1.000	Co-occurrence
NR1I2	GLS	383	1	4	1	>3	0.026	1.000	Co-occurrence
NAMPT	GLS	383	1	4	1	>3	0.026	1.000	Co-occurrence
ETV1	TRIM62	370	11	6	2	2.417	0.026	1.000	Co-occurrence
FBXW7	KLF8	316	62	6	5	1.446	0.026	1.000	Co-occurrence
ACTN4	ART1	369	13	5	2	2.430	0.026	1.000	Co-occurrence
ART1	PRKCA	369	5	13	2	2.430	0.026	1.000	Co-occurrence
PRKCA	GSN	369	13	5	2	2.430	0.026	1.000	Co-occurrence
MMD	ATM	328	2	56	3	2.173	0.027	1.000	Co-occurrence
GLS	WWOX	328	2	56	3	2.173	0.027	1.000	Co-occurrence
ATM	ARRB1	328	56	2	3	2.173	0.027	1.000	Co-occurrence
STAT1	ACTN4	359	15	12	3	1.789	0.027	1.000	Co-occurrence
STAT1	PRKCA	359	15	12	3	1.789	0.027	1.000	Co-occurrence
HDAC8	SIN3A	367	4	16	2	2.440	0.027	1.000	Co-occurrence
STAT1	GAPDH	367	16	4	2	2.440	0.027	1.000	Co-occurrence
STAT1	MDM4	367	16	4	2	2.440	0.027	1.000	Co-occurrence
G3BP1	TRIM33	359	14	13	3	1.778	0.027	1.000	Co-occurrence
TRIM33	TP73	359	13	14	3	1.778	0.027	1.000	Co-occurrence
G3BP1	SON	359	14	13	3	1.778	0.027	1.000	Co-occurrence
FSHR	SON	359	14	13	3	1.778	0.027	1.000	Co-occurrence
NOTCH4	SCIN	358	18	10	3	1.786	0.027	1.000	Co-occurrence
JAG1	GRN	357	20	9	3	1.783	0.028	1.000	Co-occurrence
JAG1	PKP3	357	20	9	3	1.783	0.028	1.000	Co-occurrence
ELSPBP1	PBXIP1	378	0	10	1	>3	0.028	1.000	Co-occurrence
TLE1	PBXIP1	370	8	9	2	2.330	0.029	1.000	Co-occurrence
MAPK7	IGSF8	370	8	9	2	2.330	0.029	1.000	Co-occurrence
TLE1	KLF8	370	8	9	2	2.330	0.029	1.000	Co-occurrence
PAK4	EPS8	368	14	5	2	2.353	0.030	1.000	Co-occurrence
UBE3C	BIRC2	368	14	5	2	2.353	0.030	1.000	Co-occurrence
PAK4	SOX3	368	14	5	2	2.353	0.030	1.000	Co-occurrence
UBE3C	HAVCR2	368	14	5	2	2.353	0.030	1.000	Co-occurrence
UBE3C	SHH	368	14	5	2	2.353	0.030	1.000	Co-occurrence
CXCR2	TRIM33	368	5	14	2	2.353	0.030	1.000	Co-occurrence
BIRC2	SON	368	5	14	2	2.353	0.030	1.000	Co-occurrence
HDAC6	NUMB	369	12	6	2	2.327	0.030	1.000	Co-occurrence
NUMB	CARD10	369	6	12	2	2.327	0.030	1.000	Co-occurrence
ACTN4	USP9X	345	11	29	4	1.465	0.030	1.000	Co-occurrence
ACTN4	KMT2A	345	11	29	4	1.465	0.030	1.000	Co-occurrence
PRKCA	KMT2A	345	11	29	4	1.465	0.030	1.000	Co-occurrence
ITGA3	WWOX	319	11	53	6	1.189	0.030	1.000	Co-occurrence
CAPNS1	PTPA	383	3	2	1	>3	0.031	1.000	Co-occurrence
EED	PTPA	383	3	2	1	>3	0.031	1.000	Co-occurrence
IRF8	CREB1	383	3	2	1	>3	0.031	1.000	Co-occurrence
PTPA	ZNF143	383	2	3	1	>3	0.031	1.000	Co-occurrence
GEMIN2	AQP3	382	1	5	1	>3	0.031	1.000	Co-occurrence
NAMPT	MDM4	382	1	5	1	>3	0.031	1.000	Co-occurrence
HDAC8	NAMPT	382	5	1	1	>3	0.031	1.000	Co-occurrence
GAPDH	NODAL	382	5	1	1	>3	0.031	1.000	Co-occurrence
MDM4	NODAL	382	5	1	1	>3	0.031	1.000	Co-occurrence
ELSPBP1	GRN	377	0	11	1	>3	0.031	1.000	Co-occurrence
ELSPBP1	QKI	377	0	11	1	>3	0.031	1.000	Co-occurrence
NRP2	UBR5	343	10	32	4	1.456	0.032	1.000	Co-occurrence
STAT1	PAK4	358	15	13	3	1.706	0.032	1.000	Co-occurrence
SIN3A	UBE3C	358	15	13	3	1.706	0.032	1.000	Co-occurrence
STAT1	TRIM33	358	15	13	3	1.706	0.032	1.000	Co-occurrence
SIN3A	TRIM33	358	15	13	3	1.706	0.032	1.000	Co-occurrence
STAT1	SON	358	15	13	3	1.706	0.032	1.000	Co-occurrence
G3BP1	ITGA3	358	14	14	3	1.701	0.032	1.000	Co-occurrence
G3BP1	FSHR	358	14	14	3	1.701	0.032	1.000	Co-occurrence
PTPA	PIK3CA	264	0	122	3	>3	0.033	1.000	Co-occurrence
ART1	TP73	367	5	15	2	2.281	0.033	1.000	Co-occurrence
SOX3	TP73	367	5	15	2	2.281	0.033	1.000	Co-occurrence
ITGA3	SHH	367	15	5	2	2.281	0.033	1.000	Co-occurrence
TP73	SHH	367	15	5	2	2.281	0.033	1.000	Co-occurrence
ATM	AGTR1	325	55	5	4	1.553	0.033	1.000	Co-occurrence
WWOX	AGTR1	325	55	5	4	1.553	0.033	1.000	Co-occurrence
NOTCH4	CARD10	357	18	11	3	1.688	0.034	1.000	Co-occurrence
PRKCA	NUMB	368	13	6	2	2.245	0.034	1.000	Co-occurrence
MAPK7	GRN	369	8	10	2	2.222	0.034	1.000	Co-occurrence
MAPK7	TCF3	369	8	10	2	2.222	0.034	1.000	Co-occurrence
FSCN2	JAG1	356	10	20	3	1.675	0.035	1.000	Co-occurrence
SCIN	JAG1	356	10	20	3	1.675	0.035	1.000	Co-occurrence
ITGB4	FBXO11	355	22	9	3	1.682	0.035	1.000	Co-occurrence
ITGB4	GRN	355	22	9	3	1.682	0.035	1.000	Co-occurrence
ITGB4	MMD	361	23	3	2	2.348	0.035	1.000	Co-occurrence
USP9X	JAG1	338	28	18	5	1.210	0.036	1.000	Co-occurrence
NAMPT	EPS8	381	1	6	1	>3	0.036	1.000	Co-occurrence
NAMPT	BIRC2	381	1	6	1	>3	0.036	1.000	Co-occurrence
NR1I2	SOX3	381	1	6	1	>3	0.036	1.000	Co-occurrence
NR1I2	SNW1	381	1	6	1	>3	0.036	1.000	Co-occurrence
ART1	NAMPT	381	6	1	1	>3	0.036	1.000	Co-occurrence
ART1	NODAL	381	6	1	1	>3	0.036	1.000	Co-occurrence
HDAC8	SFTPC	364	4	19	2	2.260	0.037	1.000	Co-occurrence
NOTCH4	GAPDH	364	19	4	2	2.260	0.037	1.000	Co-occurrence
TRIM33	PIK3CA	257	7	116	9	1.047	0.037	1.000	Co-occurrence
CUX1	UBE3C	357	16	13	3	1.639	0.037	1.000	Co-occurrence
CUX1	SON	357	16	13	3	1.639	0.037	1.000	Co-occurrence
ART1	SIN3A	366	5	16	2	2.214	0.037	1.000	Co-occurrence
STAT1	CXCR2	366	16	5	2	2.214	0.037	1.000	Co-occurrence
SIN3A	CXCR2	366	16	5	2	2.214	0.037	1.000	Co-occurrence
SIN3A	EPS8	366	16	5	2	2.214	0.037	1.000	Co-occurrence
STAT1	GSN	366	16	5	2	2.214	0.037	1.000	Co-occurrence
STAT1	BIRC2	366	16	5	2	2.214	0.037	1.000	Co-occurrence
SIN3A	SNW1	366	16	5	2	2.214	0.037	1.000	Co-occurrence
SOX3	PIK3CA	262	2	120	5	1.697	0.037	1.000	Co-occurrence
USP9X	IRF8	354	31	2	2	2.435	0.038	1.000	Co-occurrence
USP9X	ZNF143	354	31	2	2	2.435	0.038	1.000	Co-occurrence
STAT1	ITGA3	357	15	14	3	1.629	0.038	1.000	Co-occurrence
PAK4	KMT2A	344	12	29	4	1.375	0.038	1.000	Co-occurrence
KMT2A	UBE3C	344	29	12	4	1.375	0.038	1.000	Co-occurrence
USP9X	SON	344	29	12	4	1.375	0.038	1.000	Co-occurrence
KMT2A	SON	344	29	12	4	1.375	0.038	1.000	Co-occurrence
PTPA	MMD	382	2	4	1	>3	0.038	1.000	Co-occurrence
ARRB1	CREB1	382	4	2	1	>3	0.038	1.000	Co-occurrence
TRIM33	NUMB	367	14	6	2	2.168	0.038	1.000	Co-occurrence
NUMB	SON	367	6	14	2	2.168	0.038	1.000	Co-occurrence
UBE3C	TRIM62	367	14	6	2	2.168	0.038	1.000	Co-occurrence
TRIM33	TRIM62	367	14	6	2	2.168	0.038	1.000	Co-occurrence
GLS	PIK3CA	263	1	121	4	2.163	0.039	1.000	Co-occurrence
FBXW7	FBXO11	315	62	7	5	1.289	0.039	1.000	Co-occurrence
SCIN	MAPK7	368	11	8	2	2.124	0.040	1.000	Co-occurrence
TLE1	FSCN2	368	8	11	2	2.124	0.040	1.000	Co-occurrence
TLE1	SCIN	368	8	11	2	2.124	0.040	1.000	Co-occurrence
MAPK7	ETV1	368	8	11	2	2.124	0.040	1.000	Co-occurrence
SIN3A	WWOX	318	12	53	6	1.099	0.040	1.000	Co-occurrence
ACTN4	UBR5	342	11	32	4	1.357	0.040	1.000	Co-occurrence
ACTN4	NOTCH4	356	12	18	3	1.598	0.041	1.000	Co-occurrence
CAPNS1	EED	382	3	3	1	>3	0.041	1.000	Co-occurrence
CAPNS1	EGFL7	382	3	3	1	>3	0.041	1.000	Co-occurrence
EED	EGFL7	382	3	3	1	>3	0.041	1.000	Co-occurrence
CAPNS1	ZNF143	382	3	3	1	>3	0.041	1.000	Co-occurrence
IRF8	ZNF143	382	3	3	1	>3	0.041	1.000	Co-occurrence
NAMPT	NUMB	380	1	7	1	>3	0.041	1.000	Co-occurrence
NAMPT	TRIM62	380	1	7	1	>3	0.041	1.000	Co-occurrence
CUX1	ART1	365	17	5	2	2.150	0.041	1.000	Co-occurrence
CUX1	CXCR2	365	17	5	2	2.150	0.041	1.000	Co-occurrence
ELSPBP1	UBE3C	373	0	15	1	>3	0.041	1.000	Co-occurrence
PBXIP1	GRN	368	9	10	2	2.101	0.041	1.000	Co-occurrence
GRN	KLF8	368	10	9	2	2.101	0.041	1.000	Co-occurrence
IGSF8	QKI	368	9	10	2	2.101	0.041	1.000	Co-occurrence
UBR5	AGTR1	347	33	6	3	1.660	0.042	1.000	Co-occurrence
HDAC6	JAG1	355	11	20	3	1.577	0.043	1.000	Co-occurrence
NUMB	TP73	366	6	15	2	2.096	0.043	1.000	Co-occurrence
ITGA3	TRIM62	366	15	6	2	2.096	0.043	1.000	Co-occurrence
TP73	TRIM62	366	15	6	2	2.096	0.043	1.000	Co-occurrence
CUX1	ITGA3	356	16	14	3	1.562	0.044	1.000	Co-occurrence
CUX1	FSHR	356	16	14	3	1.562	0.044	1.000	Co-occurrence
ELSPBP1	ITGA3	372	0	16	1	>3	0.044	1.000	Co-occurrence
STAT1	SIN3A	356	15	15	3	1.557	0.044	1.000	Co-occurrence
TLE1	USP9X	349	7	30	3	1.607	0.044	1.000	Co-occurrence
CAPNS1	UBR5	351	2	34	2	2.334	0.044	1.000	Co-occurrence
GSK3A	UBR5	351	2	34	2	2.334	0.044	1.000	Co-occurrence
EGFL7	UBR5	351	2	34	2	2.334	0.044	1.000	Co-occurrence
UBR5	ZNF143	351	34	2	2	2.334	0.044	1.000	Co-occurrence
FBXW7	PIK3CA	225	39	97	28	0.510	0.045	1.000	Co-occurrence
PTPA	MDM4	381	2	5	1	>3	0.046	1.000	Co-occurrence
OVOL2	NR1I2	379	8	1	1	>3	0.046	1.000	Co-occurrence
NAMPT	AGTR1	379	1	8	1	>3	0.046	1.000	Co-occurrence
MAPK7	HDAC6	367	8	12	2	2.034	0.046	1.000	Co-occurrence
TLE1	NRP2	367	8	12	2	2.034	0.046	1.000	Co-occurrence
MAPK7	NRP2	367	8	12	2	2.034	0.046	1.000	Co-occurrence
MAPK7	CARD10	367	8	12	2	2.034	0.046	1.000	Co-occurrence
HDAC8	WWOX	327	3	56	3	1.765	0.047	1.000	Co-occurrence
FSCN2	IGSF8	367	11	9	2	2.003	0.048	1.000	Co-occurrence
ETV1	KLF8	367	11	9	2	2.003	0.048	1.000	Co-occurrence
PBXIP1	SCIN	367	9	11	2	2.003	0.048	1.000	Co-occurrence
PBXIP1	ETV1	367	9	11	2	2.003	0.048	1.000	Co-occurrence
STAT1	NUMB	365	16	6	2	2.029	0.048	1.000	Co-occurrence
SIN3A	NUMB	365	16	6	2	2.029	0.048	1.000	Co-occurrence
STAT1	TRIM62	365	16	6	2	2.029	0.048	1.000	Co-occurrence
NOTCH4	UBE3C	355	18	13	3	1.515	0.048	1.000	Co-occurrence
NOTCH4	TRIM33	355	18	13	3	1.515	0.048	1.000	Co-occurrence
SFTPC	SON	355	18	13	3	1.515	0.048	1.000	Co-occurrence
PAK4	NOTCH4	355	13	18	3	1.515	0.048	1.000	Co-occurrence
TRIM33	AGTR1	366	14	7	2	2.011	0.048	1.000	Co-occurrence
FBXO11	PKP3	367	10	10	2	1.993	0.049	1.000	Co-occurrence
GRN	QKI	367	10	10	2	1.993	0.049	1.000	Co-occurrence
MAPK7	ATM	324	6	55	4	1.368	0.049	1.000	Co-occurrence
TLE1	WWOX	324	6	55	4	1.368	0.049	1.000	Co-occurrence
MAPK7	WWOX	324	6	55	4	1.368	0.049	1.000	Co-occurrence
NOTCH4	CXCR2	363	19	5	2	2.034	0.050	1.000	Co-occurrence
SFTPC	BIRC2	363	19	5	2	2.034	0.050	1.000	Co-occurrence
EPS8	SFTPC	363	5	19	2	2.034	0.050	1.000	Co-occurrence
ITGB4	USP9X	336	20	28	5	1.099	0.050	1.000	Co-occurrence
JAG1	UBR5	335	18	31	5	1.099	0.050	1.000	Co-occurrence
TRIM33	UBR5	341	12	32	4	1.268	0.050	1.000	Co-occurrence
CUX1	SIN3A	355	16	15	3	1.490	0.051	1.000	Co-occurrence
CAPNS1	MMD	381	3	4	1	>3	0.051	1.000	Co-occurrence
GSK3A	GLS	381	3	4	1	>3	0.051	1.000	Co-occurrence
ARRB1	IRF8	381	4	3	1	>3	0.051	1.000	Co-occurrence
MMD	ZNF143	381	4	3	1	>3	0.051	1.000	Co-occurrence
ARRB1	ZNF143	381	4	3	1	>3	0.051	1.000	Co-occurrence
GLS	ZNF143	381	4	3	1	>3	0.051	1.000	Co-occurrence
FBXW7	NOTCH4	308	60	14	7	0.943	0.051	1.000	Co-occurrence
TLE1	PRKCA	366	8	13	2	1.951	0.052	1.000	Co-occurrence
PIK3CA	TCF3	259	118	5	7	1.123	0.052	1.000	Co-occurrence
CUX1	TRIM62	364	17	6	2	1.965	0.053	1.000	Co-occurrence
ART1	PTPA	380	6	2	1	>3	0.053	1.000	Co-occurrence
PTPA	CXCR2	380	2	6	1	>3	0.053	1.000	Co-occurrence
PTPA	HAVCR2	380	2	6	1	>3	0.053	1.000	Co-occurrence
G3BP1	FBXW7	311	11	61	6	1.023	0.054	1.000	Co-occurrence
IGSF8	HDAC6	366	9	12	2	1.914	0.055	1.000	Co-occurrence
PBXIP1	NRP2	366	9	12	2	1.914	0.055	1.000	Co-occurrence
NAMPT	IGSF8	377	1	10	1	>3	0.056	1.000	Co-occurrence
GEMIN2	KLF8	377	1	10	1	>3	0.056	1.000	Co-occurrence
PBXIP1	NAMPT	377	10	1	1	>3	0.056	1.000	Co-occurrence
SCIN	FBXO11	366	11	10	2	1.895	0.056	1.000	Co-occurrence
FBXO11	ETV1	366	10	11	2	1.895	0.056	1.000	Co-occurrence
ETV1	PKP3	366	11	10	2	1.895	0.056	1.000	Co-occurrence
FSCN2	QKI	366	11	10	2	1.895	0.056	1.000	Co-occurrence
SCIN	TCF3	366	11	10	2	1.895	0.056	1.000	Co-occurrence
NOTCH4	FSHR	354	18	14	3	1.438	0.057	1.000	Co-occurrence
FSHR	PIK3CA	256	8	116	9	0.909	0.057	1.000	Co-occurrence
PBXIP1	USP9X	348	8	30	3	1.470	0.057	1.000	Co-occurrence
USP9X	KLF8	348	30	8	3	1.470	0.057	1.000	Co-occurrence
CXCR2	JAG1	361	5	21	2	1.928	0.059	1.000	Co-occurrence
JAG1	SOX3	361	21	5	2	1.928	0.059	1.000	Co-occurrence
JAG1	HAVCR2	361	21	5	2	1.928	0.059	1.000	Co-occurrence
JAG1	SHH	361	21	5	2	1.928	0.059	1.000	Co-occurrence
MAPK7	TRIM33	365	8	14	2	1.875	0.059	1.000	Co-occurrence
MMD	KMT2A	353	3	31	2	2.027	0.059	1.000	Co-occurrence
USP9X	ARRB1	353	31	3	2	2.027	0.059	1.000	Co-occurrence
ACTN4	ATM	320	10	54	5	1.086	0.060	1.000	Co-occurrence
ACTN4	WWOX	320	10	54	5	1.086	0.060	1.000	Co-occurrence
PRKCA	WWOX	320	10	54	5	1.086	0.060	1.000	Co-occurrence
EED	MDM4	380	3	5	1	>3	0.061	1.000	Co-occurrence
HDAC8	EGFL7	380	5	3	1	>3	0.061	1.000	Co-occurrence
HDAC8	ZNF143	380	5	3	1	>3	0.061	1.000	Co-occurrence
PTPA	NUMB	379	2	7	1	>3	0.061	1.000	Co-occurrence
PTPA	TRIM62	379	2	7	1	>3	0.061	1.000	Co-occurrence
NR1I2	GRN	376	1	11	1	>3	0.061	1.000	Co-occurrence
NAMPT	GRN	376	1	11	1	>3	0.061	1.000	Co-occurrence
NAMPT	PKP3	376	1	11	1	>3	0.061	1.000	Co-occurrence
NODAL	TCF3	376	1	11	1	>3	0.061	1.000	Co-occurrence
PAK4	JAG1	353	13	20	3	1.404	0.061	1.000	Co-occurrence
JAG1	TRIM33	353	20	13	3	1.404	0.061	1.000	Co-occurrence
PTPA	ATM	329	1	57	2	2.446	0.061	1.000	Co-occurrence
TP73	UBR5	340	13	32	4	1.185	0.061	1.000	Co-occurrence
PRKCA	IGSF8	365	13	9	2	1.831	0.062	1.000	Co-occurrence
NOTCH4	NUMB	362	19	6	2	1.849	0.064	1.000	Co-occurrence
NOTCH4	TRIM62	362	19	6	2	1.849	0.064	1.000	Co-occurrence
ITGB4	ELSPBP1	364	24	0	1	>3	0.064	1.000	Co-occurrence
GRN	CARD10	365	10	12	2	1.806	0.065	1.000	Co-occurrence
PKP3	CARD10	365	10	12	2	1.806	0.065	1.000	Co-occurrence
NRP2	QKI	365	12	10	2	1.806	0.065	1.000	Co-occurrence
CARD10	TCF3	365	12	10	2	1.806	0.065	1.000	Co-occurrence
FSCN2	ETV1	365	11	11	2	1.797	0.065	1.000	Co-occurrence
FSCN2	NAMPT	375	12	1	1	>3	0.066	1.000	Co-occurrence
SCIN	NAMPT	375	12	1	1	>3	0.066	1.000	Co-occurrence
NR1I2	ETV1	375	1	12	1	>3	0.066	1.000	Co-occurrence
ETV1	NODAL	375	12	1	1	>3	0.066	1.000	Co-occurrence
MAPK7	ITGA3	364	8	15	2	1.803	0.066	1.000	Co-occurrence
MAPK7	TP73	364	8	15	2	1.803	0.066	1.000	Co-occurrence
CUX1	AGTR1	363	17	7	2	1.808	0.066	1.000	Co-occurrence
USP9X	PIK3CA	246	18	110	15	0.623	0.067	1.000	Co-occurrence
PTPA	AGTR1	378	2	8	1	>3	0.068	1.000	Co-occurrence
ITGB4	ART1	359	23	5	2	1.832	0.068	1.000	Co-occurrence
ITGB4	CXCR2	359	23	5	2	1.832	0.068	1.000	Co-occurrence
ITGB4	GSN	359	23	5	2	1.832	0.068	1.000	Co-occurrence
ITGB4	SHH	359	23	5	2	1.832	0.068	1.000	Co-occurrence
PBXIP1	ATM	323	7	55	4	1.211	0.069	1.000	Co-occurrence
ARRB1	UBR5	350	3	34	2	1.926	0.070	1.000	Co-occurrence
ART1	EED	379	6	3	1	>3	0.070	1.000	Co-occurrence
ART1	GSK3A	379	6	3	1	>3	0.070	1.000	Co-occurrence
CXCR2	IRF8	379	6	3	1	>3	0.070	1.000	Co-occurrence
CXCR2	ZNF143	379	6	3	1	>3	0.070	1.000	Co-occurrence
EPS8	ZNF143	379	6	3	1	>3	0.070	1.000	Co-occurrence
BIRC2	ZNF143	379	6	3	1	>3	0.070	1.000	Co-occurrence
SNW1	ZNF143	379	6	3	1	>3	0.070	1.000	Co-occurrence
CAPNS1	CXCR2	379	3	6	1	>3	0.070	1.000	Co-occurrence
EED	BIRC2	379	3	6	1	>3	0.070	1.000	Co-occurrence
EED	SOX3	379	3	6	1	>3	0.070	1.000	Co-occurrence
EED	HAVCR2	379	3	6	1	>3	0.070	1.000	Co-occurrence
GSK3A	SNW1	379	3	6	1	>3	0.070	1.000	Co-occurrence
IRF8	SNW1	379	3	6	1	>3	0.070	1.000	Co-occurrence
EED	SHH	379	3	6	1	>3	0.070	1.000	Co-occurrence
IRF8	SHH	379	3	6	1	>3	0.070	1.000	Co-occurrence
NAMPT	HDAC6	374	1	13	1	>3	0.071	1.000	Co-occurrence
NAMPT	NRP2	374	1	13	1	>3	0.071	1.000	Co-occurrence
HDAC6	NODAL	374	13	1	1	>3	0.071	1.000	Co-occurrence
CARD10	NODAL	374	13	1	1	>3	0.071	1.000	Co-occurrence
UBR5	KLF8	345	33	8	3	1.366	0.072	1.000	Co-occurrence
USP9X	QKI	347	30	9	3	1.350	0.072	1.000	Co-occurrence
SIN3A	MAPK7	363	16	8	2	1.736	0.073	1.000	Co-occurrence
PRKCA	PKP3	364	13	10	2	1.723	0.073	1.000	Co-occurrence
EPS8	ATM	326	4	56	3	1.474	0.074	1.000	Co-occurrence
CXCR2	WWOX	326	4	56	3	1.474	0.074	1.000	Co-occurrence
EPS8	WWOX	326	4	56	3	1.474	0.074	1.000	Co-occurrence
WWOX	HAVCR2	326	56	4	3	1.474	0.074	1.000	Co-occurrence
ATM	SNW1	326	56	4	3	1.474	0.074	1.000	Co-occurrence
