##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
MAPK signaling pathway	KEGG PATHWAY	hsa04010	22	255	3.51639276146e-08	3.17827807286e-07	5159|627|3164|9965|5921|1399|1398|408|8517|9448|208|998|5321|3725|7048|5970|2316|4915|2002|929|355|2254	http://www.genome.jp/kegg-bin/show_pathway?hsa04010/hsa:5321%09red/hsa:3725%09red/hsa:355%09red/hsa:929%09red/hsa:627%09red/hsa:408%09red/hsa:5921%09red/hsa:1399%09red/hsa:2254%09red/hsa:2002%09red/hsa:3164%09red/hsa:2316%09red/hsa:4915%09red/hsa:8517%09red/hsa:9448%09red/hsa:998%09red/hsa:5159%09red/hsa:208%09red/hsa:5970%09red/hsa:1398%09red/hsa:9965%09red/hsa:7048%09red
Pancreatic cancer	KEGG PATHWAY	hsa05212	12	66	3.73866170775e-08	3.35765159741e-07	8517|8503|595|208|5295|998|6772|5925|1871|1869|5970|7048	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:8517%09red/hsa:8503%09red/hsa:208%09red/hsa:595%09red/hsa:998%09red/hsa:5295%09red/hsa:1871%09red/hsa:5925%09red/hsa:5970%09red/hsa:6772%09red/hsa:1869%09red/hsa:7048%09red
Hepatitis C	KEGG PATHWAY	hsa05160	16	133	4.16797842105e-08	3.7184180592e-07	10062|8517|8503|1026|5295|10197|208|3576|9451|6772|1366|1965|29110|5970|9021|4792	http://www.genome.jp/kegg-bin/show_pathway?hsa05160/hsa:29110%09red/hsa:1026%09red/hsa:10062%09red/hsa:8517%09red/hsa:8503%09red/hsa:5295%09red/hsa:1366%09red/hsa:9451%09red/hsa:4792%09red/hsa:3576%09red/hsa:10197%09red/hsa:208%09red/hsa:5970%09red/hsa:6772%09red/hsa:1965%09red/hsa:9021%09red
TRIF-mediated TLR3/TLR4 signaling 	Reactome	R-HSA-937061	14	98	4.2458532449e-08	3.7184180592e-07	8517|8945|6500|7099|2002|929|5781|1385|3725|29110|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937061
MyD88-independent TLR3/TLR4 cascade 	Reactome	R-HSA-166166	14	98	4.2458532449e-08	3.7184180592e-07	8517|8945|6500|7099|2002|929|5781|1385|3725|29110|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166166
Toll Like Receptor 3 (TLR3) Cascade	Reactome	R-HSA-168164	14	98	4.2458532449e-08	3.7184180592e-07	8517|8945|6500|7099|2002|929|5781|1385|3725|29110|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168164
mTOR signaling pathway	KEGG PATHWAY	hsa04150	17	154	4.99519418016e-08	4.34766900866e-07	81029|8503|1977|6502|5295|3479|5562|7249|6249|1856|208|3667|8324|7248|6198|5563|2535	http://www.genome.jp/kegg-bin/show_pathway?hsa04150/hsa:3667%09red/hsa:81029%09red/hsa:8503%09red/hsa:6198%09red/hsa:3479%09red/hsa:7249%09red/hsa:2535%09red/hsa:1977%09red/hsa:6502%09red/hsa:1856%09red/hsa:208%09red/hsa:5562%09red/hsa:5563%09red/hsa:8324%09red/hsa:7248%09red/hsa:5295%09red/hsa:6249%09red
ErbB signaling pathway	KEGG PATHWAY	hsa04012	13	88	9.05473253347e-08	7.80440915579e-07	868|8503|1026|10298|208|5295|6464|57144|2002|1399|1398|3725|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:1026%09red/hsa:868%09red/hsa:8503%09red/hsa:6198%09red/hsa:1399%09red/hsa:1398%09red/hsa:57144%09red/hsa:3725%09red/hsa:5295%09red/hsa:2002%09red/hsa:10298%09red/hsa:208%09red/hsa:6464%09red
Deubiquitination	Reactome	R-HSA-5688426	23	294	9.07746880531e-08	7.80440915579e-07	4303|23326|1080|114548|8239|7347|86|6478|2033|7415|408|8517|3607|4194|64750|4193|672|7048|4792|10197|6502|51720|8850	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5688426
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	26	369	9.3743175848e-08	8.01078048156e-07	23327|3309|4615|6478|8945|55294|6477|7099|83737|4591|8517|10197|64750|81559|8452|9021|868|9902|948|6502|6500|3685|929|1514|9690|7428	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169
Toll Like Receptor 4 (TLR4) Cascade	Reactome	R-HSA-166016	15	125	1.13192715894e-07	9.57216335628e-07	8517|8945|948|6500|7099|2002|929|5781|1385|3725|29110|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166016
Phospholipase D signaling pathway	KEGG PATHWAY	hsa04072	16	144	1.13372431241e-07	9.57216335628e-07	5159|8503|3576|3579|8877|10672|5321|6464|7249|7248|208|80310|185|5295|2149|5781	http://www.genome.jp/kegg-bin/show_pathway?hsa04072/hsa:2149%09red/hsa:3579%09red/hsa:80310%09red/hsa:8503%09red/hsa:5321%09red/hsa:5295%09red/hsa:5781%09red/hsa:7249%09red/hsa:7248%09red/hsa:5159%09red/hsa:3576%09red/hsa:208%09red/hsa:8877%09red/hsa:10672%09red/hsa:6464%09red/hsa:185%09red
Integrin signalling pathway	PANTHER	P00034	17	164	1.14822685882e-07	9.63690399369e-07	8503|5295|2316|3694|59277|6464|998|3685|3918|389|1399|1398|388|3673|55742|81|3675	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00034
Hedgehog signaling pathway	KEGG PATHWAY	hsa04340	10	47	1.42298060985e-07	1.18722050881e-06	2735|2736|894|8945|64750|51684|595|408|8405|8452	http://www.genome.jp/kegg-bin/show_pathway?hsa04340/hsa:894%09red/hsa:408%09red/hsa:51684%09red/hsa:595%09red/hsa:8405%09red/hsa:64750%09red/hsa:2736%09red/hsa:8945%09red/hsa:2735%09red/hsa:8452%09red
@@Hedgehog signaling pathway	PANTHER	P00025	5	20	0.000107146710175	0.000503589537821	2735|1387|51366|8945|51684	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00025
Toll Like Receptor TLR6:TLR2 Cascade	Reactome	R-HSA-168188	13	92	1.44232109044e-07	1.18928230264e-06	8517|8945|948|6500|7099|2002|929|1385|3725|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168188
MyD88:Mal cascade initiated on plasma membrane	Reactome	R-HSA-166058	13	92	1.44232109044e-07	1.18928230264e-06	8517|8945|948|6500|7099|2002|929|1385|3725|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166058
Interleukin receptor SHC signaling	Reactome	R-HSA-912526	20	236	1.90443142791e-07	1.56119087985e-06	5159|10197|8503|153090|1437|152559|5037|5295|6464|3718|8660|9965|8452|54756|9462|3667|408|2254|5777|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912526
Toll Like Receptor 2 (TLR2) Cascade	Reactome	R-HSA-181438	13	95	2.01645954192e-07	1.63402755983e-06	8517|8945|948|6500|7099|2002|929|1385|3725|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-181438
Toll Like Receptor TLR1:TLR2 Cascade	Reactome	R-HSA-168179	13	95	2.01645954192e-07	1.63402755983e-06	8517|8945|948|6500|7099|2002|929|1385|3725|5970|4615|4792|4205	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168179
EGF receptor signaling pathway	PANTHER	P00018	14	114	2.30709425935e-07	1.85885880325e-06	868|5584|5037|6464|5588|6772|208|5921|153090|9462|157310|10253|10252|7532	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00018
Shigellosis	KEGG PATHWAY	hsa05131	11	65	2.62772638877e-07	2.10516716373e-06	8517|8945|3576|998|5217|391|1399|1398|10459|5970|4792	http://www.genome.jp/kegg-bin/show_pathway?hsa05131/hsa:8517%09red/hsa:1399%09red/hsa:1398%09red/hsa:998%09red/hsa:4792%09red/hsa:3576%09red/hsa:8945%09red/hsa:10459%09red/hsa:5970%09red/hsa:5217%09red/hsa:391%09red
Gastrin-CREB signalling pathway via PKC and MAPK	Reactome	R-HSA-881907	27	421	3.1115324964e-07	2.47867842934e-06	5159|152559|8503|5037|5295|3718|11343|2147|5588|5921|54756|9462|408|5029|3667|1437|185|8452|153090|10197|56413|6464|8660|9965|1385|2254|2149	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-881907
Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	13	102	4.22257335925e-07	3.34484743626e-06	4312|634|4067|4680|5295|6464|3685|2147|5781|3675|50848|5777|682	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202733
RET signaling	Reactome	R-HSA-8853659	20	251	4.72991743422e-07	3.72580088394e-06	5159|10197|8503|153090|1437|152559|5037|5295|6464|3718|5781|8660|9965|8452|54756|9462|3667|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853659
Bladder cancer	KEGG PATHWAY	hsa05219	9	41	4.78855977889e-07	3.73031452389e-06	4312|1026|595|3576|4193|5925|1871|1869|11186	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:1026%09red/hsa:5925%09red/hsa:4312%09red/hsa:11186%09red/hsa:3576%09red/hsa:1871%09red/hsa:4193%09red/hsa:1869%09red/hsa:595%09red
Netrin-1 signaling	Reactome	R-HSA-373752	9	41	4.78855977889e-07	3.73031452389e-06	6478|6586|6477|998|5588|5781|59277|9423|7224	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373752
Legionellosis	KEGG PATHWAY	hsa05134	10	55	5.12639126372e-07	3.97154488014e-06	5970|718|3569|3576|7099|929|7415|3297|4615|4792	http://www.genome.jp/kegg-bin/show_pathway?hsa05134/hsa:3569%09red/hsa:7099%09red/hsa:4792%09red/hsa:3576%09red/hsa:718%09red/hsa:5970%09red/hsa:4615%09red/hsa:7415%09red/hsa:929%09red/hsa:3297%09red
PDGF signaling pathway	PANTHER	P00047	14	123	5.34583727675e-07	4.1189238034e-06	5159|8503|208|5295|6464|3718|6772|2002|2078|5921|3725|2113|6198|25803	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00047
Deactivation of the beta-catenin transactivating complex	Reactome	R-HSA-3769402	9	42	5.71442611906e-07	4.35531936642e-06	8945|6659|6658|6657|7088|208|25776|3065|64321	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3769402
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	19	231	5.8347767375e-07	4.42313720424e-06	5159|10197|3667|153090|1437|152559|5037|3569|6464|3718|5781|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
Signaling by Leptin	Reactome	R-HSA-2586552	19	232	6.19928678197e-07	4.67432853613e-06	5159|10197|3667|153090|1437|152559|5037|6464|3718|5781|8660|9965|8452|54756|9462|408|2254|9021|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2586552
Prolonged ERK activation events	Reactome	R-HSA-169893	19	233	6.58443429285e-07	4.93832571963e-06	5159|10197|3667|1399|1437|153090|5037|152559|9462|6464|3718|8660|9965|8452|54756|1398|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-169893
BMAL1:CLOCK,NPAS2 activates circadian gene expression	Reactome	R-HSA-1368108	9	43	6.79134344563e-07	5.06655780865e-06	10135|10891|8553|2033|79718|1385|5054|8841|1387	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1368108
Acute myeloid leukemia	KEGG PATHWAY	hsa05221	10	57	6.8570741188e-07	5.08867079342e-06	1050|8517|8503|595|861|208|5295|11040|5970|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa05221/hsa:11040%09red/hsa:8517%09red/hsa:8503%09red/hsa:6198%09red/hsa:861%09red/hsa:5295%09red/hsa:1050%09red/hsa:208%09red/hsa:5970%09red/hsa:595%09red
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	18	211	7.0539228481e-07	5.2073461863e-06	5159|8503|5228|1969|9965|208|5295|3479|50855|998|5217|5584|80310|1399|1398|9863|2254|2149	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:2149%09red/hsa:5584%09red/hsa:80310%09red/hsa:8503%09red/hsa:5228%09red/hsa:1399%09red/hsa:2254%09red/hsa:3479%09red/hsa:5295%09red/hsa:5159%09red/hsa:50855%09red/hsa:9863%09red/hsa:208%09red/hsa:5217%09red/hsa:1398%09red/hsa:998%09red/hsa:9965%09red/hsa:1969%09red
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Reactome	R-HSA-2173793	9	44	8.03948881168e-07	5.90399959608e-06	23327|6497|8239|64750|6498|3065|5054|3726|51592	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173793
TGF-beta signaling pathway	PANTHER	P00052	12	91	8.44312890818e-07	6.16829624898e-06	4838|6497|64750|6498|7048|654|2662|3725|3726|1387|9518|2033	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00052
@@TGF-beta signaling pathway	KEGG PATHWAY	hsa04350	10	84	1.55883909853e-05	8.45370434201e-05	4838|64750|4052|6500|654|2033|1387|6198|7048|10468	http://www.genome.jp/kegg-bin/show_pathway?hsa04350/hsa:4838%09red/hsa:654%09red/hsa:2033%09red/hsa:6198%09red/hsa:1387%09red/hsa:6500%09red/hsa:64750%09red/hsa:4052%09red/hsa:10468%09red/hsa:7048%09red
Pertussis	KEGG PATHWAY	hsa05133	11	75	9.40834756477e-07	6.83802580738e-06	3576|3394|718|114548|3569|7099|929|51561|3725|5970|4615	http://www.genome.jp/kegg-bin/show_pathway?hsa05133/hsa:3569%09red/hsa:114548%09red/hsa:7099%09red/hsa:3725%09red/hsa:3576%09red/hsa:3394%09red/hsa:718%09red/hsa:51561%09red/hsa:5970%09red/hsa:4615%09red/hsa:929%09red
GPCR downstream signaling	Reactome	R-HSA-388396	43	940	1.00569930192e-06	7.27197956772e-06	1129|8503|10672|9181|3718|133|391|23365|11343|4283|3579|3576|5588|5029|185|6363|4988|6366|6364|1234|1235|1236|5295|718|208|2854|998|10563|729230|388|389|1437|56413|6352|5443|2492|6464|2147|2149|6370|408|728|10803	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388396
Fc gamma R-mediated phagocytosis	KEGG PATHWAY	hsa04666	12	93	1.04003793185e-06	7.48190553013e-06	8503|5295|4067|8877|85477|208|5321|998|10810|1399|1398|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa04666/hsa:8503%09red/hsa:5321%09red/hsa:6198%09red/hsa:1399%09red/hsa:1398%09red/hsa:998%09red/hsa:5295%09red/hsa:85477%09red/hsa:208%09red/hsa:8877%09red/hsa:4067%09red/hsa:10810%09red
p53 pathway feedback loops 2	PANTHER	P04398	9	46	1.1140835116e-06	7.95273823406e-06	8503|1026|208|4194|5295|6477|4193|8493|5925	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04398
@@P53 pathway feedback loops 1	PANTHER	P04392	2	6	0.00984205285001	0.0263326271699	4194|4193	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04392
G alpha (i) signalling events	Reactome	R-HSA-418594	19	242	1.1167674967e-06	7.95273823406e-06	1234|4283|1236|3579|6352|1129|5443|1235|3576|10563|6363|729230|6370|4988|718|10803|6366|728|6364	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418594
Signalling to ERKs	Reactome	R-HSA-187687	19	244	1.25168747574e-06	8.86874040597e-06	5159|10197|3667|1399|1437|153090|5037|152559|9462|6464|3718|8660|9965|8452|54756|1398|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187687
PI3 kinase pathway	PANTHER	P00048	9	47	1.30455256729e-06	9.19709559942e-06	4303|2309|8503|894|208|5295|3667|595|6198	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00048
Downregulation of SMAD2/3:SMAD4 transcriptional activity	Reactome	R-HSA-2173795	7	23	1.4409675213e-06	1.0108279627e-05	23327|6497|8239|64750|6498|3065|51592	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173795
Notch signaling pathway	KEGG PATHWAY	hsa04330	9	48	1.52247528723e-06	1.06271789851e-05	8850|1856|4854|2033|3066|3065|4855|1387|3280	http://www.genome.jp/kegg-bin/show_pathway?hsa04330/hsa:2033%09red/hsa:1387%09red/hsa:3066%09red/hsa:1856%09red/hsa:3065%09red/hsa:8850%09red/hsa:4855%09red/hsa:4854%09red/hsa:3280%09red
@@Notch signaling pathway	PANTHER	P00045	5	40	0.00178710129544	0.00629953206642	102|4855|4854|55294|3280	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00045
Tuberculosis	KEGG PATHWAY	hsa05152	16	179	1.65039294502e-06	1.14472310221e-05	1051|1387|9902|8877|718|208|3569|6772|7099|929|2033|51561|23365|1385|5970|4615	http://www.genome.jp/kegg-bin/show_pathway?hsa05152/hsa:3569%09red/hsa:51561%09red/hsa:6772%09red/hsa:9902%09red/hsa:2033%09red/hsa:7099%09red/hsa:1385%09red/hsa:1051%09red/hsa:23365%09red/hsa:718%09red/hsa:208%09red/hsa:8877%09red/hsa:5970%09red/hsa:4615%09red/hsa:1387%09red/hsa:929%09red
FCERI mediated MAPK activation	Reactome	R-HSA-2871796	19	249	1.65619512661e-06	1.14472310221e-05	5159|10197|3667|4067|1437|153090|5037|152559|6464|3718|8660|9965|408|8452|54756|9462|3725|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2871796
Mitochondrial biogenesis	Reactome	R-HSA-1592230	9	49	1.77108172329e-06	1.2181586487e-05	10891|5563|4209|23410|1385|8841|2101|1387|79718	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1592230
Constitutive Signaling by AKT1 E17K in Cancer	Reactome	R-HSA-5674400	7	24	1.82994641784e-06	1.24642636796e-05	2309|1026|208|4193|7249|1385|3164	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5674400
EGFR tyrosine kinase inhibitor resistance	KEGG PATHWAY	hsa01521	11	81	1.85963180239e-06	1.24642636796e-05	5159|2309|8503|5295|1977|208|3569|6464|3479|80310|6198	http://www.genome.jp/kegg-bin/show_pathway?hsa01521/hsa:3569%09red/hsa:80310%09red/hsa:8503%09red/hsa:6198%09red/hsa:3479%09red/hsa:5295%09red/hsa:5159%09red/hsa:208%09red/hsa:1977%09red/hsa:6464%09red/hsa:2309%09red
FRS-mediated FGFR1 signaling	Reactome	R-HSA-5654693	18	227	1.86521960029e-06	1.24642636796e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|5781|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654693
FRS-mediated FGFR3 signaling	Reactome	R-HSA-5654706	18	227	1.86521960029e-06	1.24642636796e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|5781|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654706
FRS-mediated FGFR4 signaling	Reactome	R-HSA-5654712	18	227	1.86521960029e-06	1.24642636796e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|5781|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654712
FRS-mediated FGFR2 signaling	Reactome	R-HSA-5654700	18	227	1.86521960029e-06	1.24642636796e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|5781|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654700
TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	11	82	2.07224658184e-06	1.37823947189e-05	7295|208|7249|7248|27165|2744|27161|5562|5563|2821|7532	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5628897
ARMS-mediated activation	Reactome	R-HSA-170984	18	230	2.21707179182e-06	1.46763907346e-05	5159|10197|3667|153090|1437|152559|5037|9462|6464|3718|8660|9965|8452|54756|1398|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170984
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	10	66	2.25430553918e-06	1.48531346273e-05	3605|3565|3569|6772|7099|50616|51561|3725|5970|6097	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:3569%09red/hsa:51561%09red/hsa:3605%09red/hsa:7099%09red/hsa:3725%09red/hsa:6097%09red/hsa:3565%09red/hsa:5970%09red/hsa:6772%09red/hsa:50616%09red
Diseases associated with the TLR signaling cascade	Reactome	R-HSA-5602358	7	25	2.30294782793e-06	1.50331316545e-05	8517|948|7099|929|5970|4615|4792	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602358
Diseases of Immune System	Reactome	R-HSA-5260271	7	25	2.30294782793e-06	1.50331316545e-05	8517|948|7099|929|5970|4615|4792	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5260271
Frs2-mediated activation	Reactome	R-HSA-170968	18	231	2.34705215139e-06	1.52504310298e-05	5159|10197|3667|1399|1437|153090|5037|152559|6464|3718|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170968
Central carbon metabolism in cancer	KEGG PATHWAY	hsa05230	10	67	2.54581368201e-06	1.64660426222e-05	5159|8503|5295|4916|208|6513|27165|2744|3099|23410	http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:4916%09red/hsa:8503%09red/hsa:27165%09red/hsa:6513%09red/hsa:2744%09red/hsa:5295%09red/hsa:5159%09red/hsa:23410%09red/hsa:208%09red/hsa:3099%09red
Activation of HOX genes during differentiation	Reactome	R-HSA-5619507	13	122	2.64799971059e-06	1.69712708724e-05	84962|7703|23512|8202|3014|3015|2033|8841|5915|3725|1387|7403|8726	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619507
Activation of anterior HOX genes in hindbrain development during early embryogenesis	Reactome	R-HSA-5617472	13	122	2.64799971059e-06	1.69712708724e-05	84962|7703|23512|8202|3014|3015|2033|8841|5915|3725|1387|7403|8726	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5617472
G1 Phase	Reactome	R-HSA-69236	8	38	2.74235675217e-06	1.74176712638e-05	1026|595|6502|6500|5925|1871|1869|894	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69236
Cyclin D associated events in G1	Reactome	R-HSA-69231	8	38	2.74235675217e-06	1.74176712638e-05	1026|595|6502|6500|5925|1871|1869|894	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69231
p75 NTR receptor-mediated signalling	Reactome	R-HSA-193704	11	85	2.8433483319e-06	1.79781217398e-05	5584|23365|8878|3066|3065|9181|8841|57142|5970|4615|4792	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193704
Interleukin-6 family signaling	Reactome	R-HSA-6783589	7	26	2.87383931184e-06	1.80897920969e-05	3569|3589|5008|5781|3976|246778|9021	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783589
VEGFR2 mediated cell proliferation	Reactome	R-HSA-5218921	18	238	3.46743409983e-06	2.17292536922e-05	5159|10197|3667|153090|8877|1437|152559|5037|6464|3718|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218921
RORA activates gene expression	Reactome	R-HSA-1368082	7	27	3.55809438761e-06	2.21987304714e-05	23411|10891|6720|2033|79718|8841|1387	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1368082
mTOR signalling	Reactome	R-HSA-165159	8	40	3.83194893193e-06	2.36975789211e-05	1981|1977|208|7249|7248|5562|5563|6198	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-165159
Transcriptional activation of mitochondrial biogenesis	Reactome	R-HSA-2151201	8	40	3.83194893193e-06	2.36975789211e-05	10891|4209|23410|1385|8841|2101|1387|79718	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2151201
Cell junction organization	Reactome	R-HSA-446728	11	88	3.85490969654e-06	2.3735470184e-05	977|5584|2316|1003|50855|3918|1366|1009|55742|50848|283	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446728
Apoptosis signaling pathway	PANTHER	P00006	12	108	4.30699070498e-06	2.64037256262e-05	4170|9448|208|8743|5588|1965|355|9531|3309|3725|5970|4792	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00006
PKB-mediated events	Reactome	R-HSA-109703	8	41	4.50168492044e-06	2.74778170468e-05	1981|1977|208|7249|7248|5562|5563|6198	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109703
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	9	57	5.35802069347e-06	3.25638326629e-05	8517|3569|6352|6347|114548|3576|9051|5970|4792	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:3569%09red/hsa:8517%09red/hsa:9051%09red/hsa:4792%09red/hsa:3576%09red/hsa:6347%09red/hsa:114548%09red/hsa:5970%09red/hsa:6352%09red
Leishmaniasis	KEGG PATHWAY	hsa05140	10	74	5.66907311887e-06	3.43064081442e-05	3565|718|6772|7099|2002|5777|3725|5970|4615|4792	http://www.genome.jp/kegg-bin/show_pathway?hsa05140/hsa:6772%09red/hsa:7099%09red/hsa:3725%09red/hsa:4792%09red/hsa:3565%09red/hsa:2002%09red/hsa:5777%09red/hsa:718%09red/hsa:5970%09red/hsa:4615%09red
SHC1 events in EGFR signaling	Reactome	R-HSA-180336	17	226	6.8724390666e-06	4.07148701004e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180336
SOS-mediated signalling	Reactome	R-HSA-112412	17	226	6.8724390666e-06	4.07148701004e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112412
GRB2 events in EGFR signaling	Reactome	R-HSA-179812	17	226	6.8724390666e-06	4.07148701004e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179812
SHC1 events in ERBB4 signaling	Reactome	R-HSA-1250347	17	226	6.8724390666e-06	4.07148701004e-05	5159|10197|3667|153090|1437|152559|5037|6464|3718|8660|9965|8452|54756|9462|408|2254|5921	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1250347
